Title,Artist(s),Artists Separately
Old Town Road,Lil Nas X featuring Billy Ray Cyrus,Lil Nas X,Billy Ray Cyrus
Sunflower,Post Malone and Swae Lee,Post Malone,Swae Lee
Without Me,Halsey,Halsey
Bad Guy,Billie Eilish,Billie Eilish
Wow,Post Malone,Post Malone
Happier,Marshmello and Bastille,Marshmello,Bastille
7 Rings,Ariana Grande,Ariana Grande
Talk,Khalid,Khalid
Sicko Mode,Travis Scott,Travis Scott
Sucker,Jonas Brothers,Jonas Brothers
High Hopes,Panic! at the Disco,Panic! at the Disco
"Thank U, Next",Ariana Grande,Ariana Grande
Truth Hurts,Lizzo,Lizzo
Dancing with a Stranger,Sam Smith and Normani,Sam Smith,Normani
Señorita,Shawn Mendes and Camila Cabello,Shawn Mendes,Camila Cabello
I Don't Care,Ed Sheeran and Justin Bieber,Ed Sheeran,Justin Bieber
Eastside,"Benny Blanco, Halsey and Khalid",Benny Blanco,Halsey,Khalid
Going Bad,Meek Mill featuring Drake,Meek Mill,Drake
Shallow,Lady Gaga and Bradley Cooper,Lady Gaga,Bradley Cooper
Better,Khalid,Khalid
No Guidance,Chris Brown featuring Drake,Chris Brown,Drake
Girls Like You,Maroon 5 featuring Cardi B,Maroon 5,Cardi B
Sweet but Psycho,Ava Max,Ava Max
Suge,DaBaby,DaBaby
Middle Child,J. Cole,J. Cole
Drip Too Hard,Lil Baby and Gunna,Lil Baby,Gunna
Someone You Loved,Lewis Capaldi,Lewis Capaldi
Ransom,Lil Tecca,Lil Tecca
If I Can't Have You,Shawn Mendes,Shawn Mendes
Goodbyes,Post Malone featuring Young Thug,Post Malone,Young Thug
Zeze,Kodak Black featuring Travis Scott and Offset,Kodak Black,Travis Scott,Offset
Better Now,Post Malone,Post Malone
Youngblood,5 Seconds of Summer,5 Seconds of Summer
Money in the Grave,Drake featuring Rick Ross,Drake,Rick Ross
Speechless,Dan + Shay,Dan + Shay
"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,Ariana Grande
Please Me,Cardi B and Bruno Mars,Cardi B,Bruno Mars
Money,Cardi B,Cardi B
You Need to Calm Down,Taylor Swift,Taylor Swift
Panini,Lil Nas X,Lil Nas X
Look Back at It,A Boogie wit da Hoodie,A Boogie wit da Hoodie
A Lot,21 Savage,21 Savage
Me!,Taylor Swift featuring Brendon Urie,Taylor Swift,Brendon Urie
Mia,Bad Bunny featuring Drake,Bad Bunny,Drake
Pop Out,Polo G featuring Lil Tjay,Polo G,Lil Tjay
Beautiful Crazy,Luke Combs,Luke Combs
Thotiana,Blueface,Blueface
Lucid Dreams,Juice Wrld,Juice Wrld
Mo Bamba,Sheck Wes,Sheck Wes
Beautiful People,Ed Sheeran featuring Khalid,Ed Sheeran,Khalid
Wake Up in the Sky,"Gucci Mane, Bruno Mars and Kodak Black",Gucci Mane,Bruno Mars,Kodak Black
Whiskey Glasses,Morgan Wallen,Morgan Wallen
God's Country,Blake Shelton,Blake Shelton
Be Alright,Dean Lewis,Dean Lewis
Pure Water,Mustard and Migos,Mustard,Migos
The Git Up,Blanco Brown,Blanco Brown
Taki Taki,"DJ Snake featuring Selena Gomez, Ozuna and Cardi B",DJ Snake,Selena Gomez,Ozuna,Cardi B
Close to Me,Ellie Goulding and Diplo featuring Swae Lee,Ellie Goulding,Diplo,Swae Lee
Envy Me,Calboy,Calboy
You Say,Lauren Daigle,Lauren Daigle
"Hey Look Ma, I Made It",Panic! at the Disco,Panic! at the Disco
Circles,Post Malone,Post Malone
Beer Never Broke My Heart,Luke Combs,Luke Combs
The London,"Young Thug, J. Cole and Travis Scott",Young Thug,J. Cole,Travis Scott
Con Calma,Daddy Yankee and Katy Perry featuring Snow,Daddy Yankee,Katy Perry,Snow
Murder on My Mind,YNW Melly,YNW Melly
When the Party's Over,Billie Eilish,Billie Eilish
Act Up,City Girls,City Girls
I Like It,"Cardi B, Bad Bunny and J Balvin",Cardi B,Bad Bunny,J Balvin
Trampoline,Shaed,Shaed
Leave Me Alone,Flipp Dinero,Flipp Dinero
Breathin,Ariana Grande,Ariana Grande
Bury a Friend,Billie Eilish,Billie Eilish
Close Friends,Lil Baby,Lil Baby
Baby Shark,Pinkfong,Pinkfong
My Type,Saweetie,Saweetie
Worth It,YK Osiris,YK Osiris
Only Human,Jonas Brothers,Jonas Brothers
Knockin' Boots,Luke Bryan,Luke Bryan
Trip,Ella Mai,Ella Mai
Rumor,Lee Brice,Lee Brice
Swervin,A Boogie wit da Hoodie featuring 6ix9ine,A Boogie wit da Hoodie,6ix9ine
How Do You Sleep?,Sam Smith,Sam Smith
Baby,Lil Baby and DaBaby,Lil Baby,DaBaby
Look What God Gave Her,Thomas Rhett,Thomas Rhett
Good as You,Kane Brown,Kane Brown
Clout,Offset featuring Cardi B,Offset,Cardi B
Love Lies,Khalid and Normani,Khalid,Normani
One Thing Right,Marshmello and Kane Brown,Marshmello,Kane Brown
Cash Shit,Megan Thee Stallion featuring DaBaby,Megan Thee Stallion,DaBaby
Tequila,Dan + Shay,Dan + Shay
Shotta Flow,NLE Choppa,NLE Choppa
Hot Girl Summer,Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Megan Thee Stallion,Nicki Minaj,Ty Dolla Sign
Talk You Out of It,Florida Georgia Line,Florida Georgia Line
Beautiful,Bazzi featuring Camila Cabello,Bazzi,Camila Cabello
Eyes on You,Chase Rice,Chase Rice
All to Myself,Dan + Shay,Dan + Shay
Boyfriend,Ariana Grande and Social House,Ariana Grande,Social House
Walk Me Home,Pink,Pink
Robbery,Juice Wrld,Juice Wrld
